,Year,Phoenix Police Dept,Los Angeles Police Dept,New York City Police Dept,Philadelphia Police Dept
0,2010.0,1.08,0.46,0.21,0.71
1,2011.0,1.27,0.45,0.22,0.79
2,2012.0,1.21,0.43,0.22,0.78
3,2013.0,1.11,0.41,0.20,0.67
4,2014.0,0.94,0.39,0.19,0.62
