city_pol,month,value
Cincinnati O3,11,-1.448834
Cincinnati O3,12,-1.565691
Denver O3,1,-1.804392
Denver O3,2,-1.134858
Denver O3,3,-0.539631
Denver O3,4,-0.108781
Denver O3,5,0.633458
Denver O3,6,1.249679
Denver O3,7,2.007704
Denver O3,8,1.622931
Denver O3,9,0.319905
Denver O3,10,-1.237922
Denver O3,11,-1.741715
Denver O3,12,-1.632399
Des Moines O3,4,0.944347
Des Moines O3,5,0.677033
Des Moines O3,6,0.483934
Des Moines O3,7,0.767882
Des Moines O3,8,0.892577
Des Moines O3,9,0.334835
Des Moines O3,10,-1.058599
Houston O3,1,-1.141729
Houston O3,2,-0.397250
Houston O3,3,0.582621
Houston O3,4,0.255684
Houston O3,5,-0.081824
Houston O3,6,-0.491653
Houston O3,7,-0.071135
Houston O3,8,0.392016
Houston O3,9,0.053203
Houston O3,10,-0.436313
Houston O3,11,-1.089891
Houston O3,12,-1.884553
Indianapolis O3,1,-1.546393
Indianapolis O3,2,-0.793817
Indianapolis O3,3,0.196068
Indianapolis O3,4,0.656963
Indianapolis O3,5,0.769663
Indianapolis O3,6,1.385766
Indianapolis O3,7,0.947799
Indianapolis O3,8,1.569491
Indianapolis O3,9,1.152120
Indianapolis O3,10,-0.764082
Indianapolis O3,11,-1.262983
Indianapolis O3,12,-1.408338
Long Beach O3,1,-1.923743
Long Beach O3,2,-0.728582
Long Beach O3,3,0.336794
Long Beach O3,4,0.778451
Long Beach O3,5,0.874763
Long Beach O3,6,0.301702
Long Beach O3,7,-0.325869
Long Beach O3,8,0.176473
Long Beach O3,9,0.450801
Long Beach O3,10,-0.016462
Long Beach O3,11,-1.106458
Long Beach O3,12,-1.627180
Vandenberg Air Force Base O3,1,0.539869
Vandenberg Air Force Base O3,2,0.896521
Vandenberg Air Force Base O3,3,0.814197
Vandenberg Air Force Base O3,4,0.977250
Vandenberg Air Force Base O3,5,0.693065
Vandenberg Air Force Base O3,6,-0.635231
Vandenberg Air Force Base O3,7,-0.511130
Vandenberg Air Force Base O3,8,-1.001332
Vandenberg Air Force Base O3,9,-0.042515
Vandenberg Air Force Base O3,10,0.885214
Vandenberg Air Force Base O3,11,0.417668
Vandenberg Air Force Base O3,12,0.468615
Cincinnati SO2,2,0.601973
Cincinnati SO2,3,1.622800
Cincinnati SO2,4,0.053189
Cincinnati SO2,5,-0.087868
Cincinnati SO2,6,1.237730
Cincinnati SO2,7,1.806591
Cincinnati SO2,8,2.236670
Cincinnati SO2,9,0.537967
Cincinnati SO2,10,0.859265
Cincinnati SO2,11,0.598299
Cincinnati SO2,12,1.651993
Denver SO2,1,1.513841
Denver SO2,2,0.577632
Denver SO2,3,0.212091
Denver SO2,4,-0.186013
Denver SO2,5,0.490055
Denver SO2,6,0.893159
Denver SO2,7,0.317760
Denver SO2,8,0.587485
Denver SO2,9,0.537353
Denver SO2,10,0.936976
Denver SO2,11,1.071747
Denver SO2,12,0.533381
Des Moines SO2,4,-1.129440
Des Moines SO2,5,-1.163669
Des Moines SO2,6,-1.183611
Des Moines SO2,7,-1.180116
Des Moines SO2,8,-1.151746
Des Moines SO2,9,-1.161518
Des Moines SO2,10,-1.141549
Houston SO2,1,-0.659786
Houston SO2,2,-0.714052
Houston SO2,3,-0.966515
Houston SO2,4,-0.924015
Houston SO2,5,-0.775323
Houston SO2,6,-0.457081
Houston SO2,7,-0.471472
Houston SO2,8,-0.861668
Houston SO2,9,-0.657620
Houston SO2,10,-0.655880
Houston SO2,11,-0.217241
Houston SO2,12,0.071678
Indianapolis SO2,1,2.454348
Indianapolis SO2,2,1.436700
Indianapolis SO2,3,-0.284803
Indianapolis SO2,4,0.241619
Indianapolis SO2,5,0.536500
Indianapolis SO2,6,0.706333
Indianapolis SO2,7,0.224426
Indianapolis SO2,8,0.734066
Indianapolis SO2,9,0.463615
Indianapolis SO2,10,2.174995
Indianapolis SO2,11,1.732836
Indianapolis SO2,12,2.933390
Long Beach SO2,1,-0.360663
Long Beach SO2,2,-0.244949
Long Beach SO2,3,-0.812328
Long Beach SO2,4,-0.973937
Long Beach SO2,5,-0.940201
Long Beach SO2,6,-0.924015
Long Beach SO2,7,-0.660197
Long Beach SO2,8,-0.605718
Long Beach SO2,9,-0.413107
Long Beach SO2,10,-0.493849
Long Beach SO2,11,-0.452408
Long Beach SO2,12,-0.390282
Vandenberg Air Force Base SO2,1,-0.715088
Vandenberg Air Force Base SO2,2,-0.753884
Vandenberg Air Force Base SO2,3,-0.774707
Vandenberg Air Force Base SO2,4,-0.762564
Vandenberg Air Force Base SO2,5,-0.757849
Vandenberg Air Force Base SO2,6,-0.776584
Vandenberg Air Force Base SO2,7,-0.784163
Vandenberg Air Force Base SO2,8,-0.741509
Vandenberg Air Force Base SO2,9,-0.859434
Vandenberg Air Force Base SO2,10,-0.804626
Vandenberg Air Force Base SO2,11,-0.789755
Vandenberg Air Force Base SO2,12,-0.765661
