state,good,prop_selling
Delaware,Mushrooms,0.357143
Delaware,Nursery,0.071429
Delaware,Nuts,0.142857
Delaware,PetFood,0.142857
Delaware,Plants,0.535714
Delaware,Poultry,0.571429
Delaware,Prepared,0.607143
Delaware,Seafood,0.178571
Delaware,Soap,0.571429
Delaware,Tofu,0.000000
Delaware,Trees,0.214286
Delaware,Vegetables,0.857143
Delaware,WildHarvested,0.071429
Delaware,Wine,0.071429
District of Columbia,Bakedgoods,0.886364
District of Columbia,Beans,0.363636
District of Columbia,Cheese,0.590909
District of Columbia,Coffee,0.409091
District of Columbia,Crafts,0.204545
District of Columbia,Eggs,0.863636
District of Columbia,Flowers,0.727273
District of Columbia,Fruits,0.909091
District of Columbia,Grains,0.068182
District of Columbia,Herbs,0.886364
District of Columbia,Honey,0.613636
District of Columbia,Jams,0.454545
District of Columbia,Juices,0.409091
District of Columbia,Maple,0.090909
District of Columbia,Meat,0.727273
District of Columbia,Mushrooms,0.477273
District of Columbia,Nursery,0.000000
District of Columbia,Nuts,0.181818
District of Columbia,PetFood,0.113636
District of Columbia,Plants,0.318182
District of Columbia,Poultry,0.681818
District of Columbia,Prepared,0.431818
District of Columbia,Seafood,0.409091
District of Columbia,Soap,0.113636
District of Columbia,Tofu,0.045455
District of Columbia,Trees,0.045455
District of Columbia,Vegetables,0.954545
District of Columbia,WildHarvested,0.068182
District of Columbia,Wine,0.068182
Florida,Bakedgoods,0.923077
Florida,Beans,0.198718
Florida,Cheese,0.653846
Florida,Coffee,0.467949
Florida,Crafts,0.737179
Florida,Eggs,0.756410
Florida,Flowers,0.621795
Florida,Fruits,0.807692
Florida,Grains,0.250000
Florida,Herbs,0.878205
Florida,Honey,0.929487
Florida,Jams,0.916667
Florida,Juices,0.423077
Florida,Maple,0.358974
Florida,Meat,0.493590
Florida,Mushrooms,0.326923
Florida,Nursery,0.083333
Florida,Nuts,0.538462
Florida,PetFood,0.410256
Florida,Plants,0.794872
Florida,Poultry,0.429487
Florida,Prepared,0.807692
Florida,Seafood,0.570513
Florida,Soap,0.814103
Florida,Tofu,0.102564
Florida,Trees,0.666667
Florida,Vegetables,0.967949
Florida,WildHarvested,0.237179
Florida,Wine,0.051282
Georgia,Bakedgoods,0.927419
Georgia,Beans,0.120968
Georgia,Cheese,0.588710
Georgia,Coffee,0.379032
Georgia,Crafts,0.637097
Georgia,Eggs,0.790323
Georgia,Flowers,0.677419
Georgia,Fruits,0.822581
Georgia,Grains,0.225806
Georgia,Herbs,0.798387
Georgia,Honey,0.919355
Georgia,Jams,0.903226
Georgia,Juices,0.298387
Georgia,Maple,0.153226
Georgia,Meat,0.572581
Georgia,Mushrooms,0.306452
Georgia,Nursery,0.032258
Georgia,Nuts,0.435484
Georgia,PetFood,0.258065
Georgia,Plants,0.612903
Georgia,Poultry,0.419355
Georgia,Prepared,0.548387
Georgia,Seafood,0.258065
Georgia,Soap,0.806452
Georgia,Tofu,0.056452
Georgia,Trees,0.370968
Georgia,Vegetables,0.927419
Georgia,WildHarvested,0.217742
Georgia,Wine,0.032258
Idaho,Bakedgoods,0.918919
Idaho,Beans,0.054054
Idaho,Cheese,0.513514
Idaho,Coffee,0.243243
Idaho,Crafts,0.864865
Idaho,Eggs,0.675676
Idaho,Flowers,0.756757
Idaho,Fruits,0.621622
Idaho,Grains,0.189189
Idaho,Herbs,0.918919
Idaho,Honey,0.864865
Idaho,Jams,0.891892
Idaho,Juices,0.135135
Idaho,Maple,0.135135
Idaho,Meat,0.513514
Idaho,Mushrooms,0.108108
Idaho,Nursery,0.108108
Idaho,Nuts,0.270270
Idaho,PetFood,0.081081
Idaho,Plants,0.810811
Idaho,Poultry,0.243243
Idaho,Prepared,0.864865
Idaho,Seafood,0.108108
Idaho,Soap,0.891892
Idaho,Tofu,0.000000
Idaho,Trees,0.324324
Idaho,Vegetables,0.972973
Idaho,WildHarvested,0.135135
Idaho,Wine,0.243243
Illinois,Bakedgoods,0.926702
Illinois,Beans,0.167539
Illinois,Cheese,0.528796
Illinois,Coffee,0.408377
Illinois,Crafts,0.596859
Illinois,Eggs,0.633508
Illinois,Flowers,0.722513
Illinois,Fruits,0.821990
Illinois,Grains,0.188482
Illinois,Herbs,0.801047
Illinois,Honey,0.780105
Illinois,Jams,0.769634
Illinois,Juices,0.225131
Illinois,Maple,0.282723
Illinois,Meat,0.581152
Illinois,Mushrooms,0.293194
Illinois,Nursery,0.047120
Illinois,Nuts,0.277487
Illinois,PetFood,0.324607
Illinois,Plants,0.717277
Illinois,Poultry,0.492147
Illinois,Prepared,0.633508
Illinois,Seafood,0.214660
Illinois,Soap,0.696335
Illinois,Tofu,0.099476
Illinois,Trees,0.261780
Illinois,Vegetables,0.958115
Illinois,WildHarvested,0.136126
Illinois,Wine,0.068063
Indiana,Bakedgoods,0.979167
Indiana,Beans,0.125000
Indiana,Cheese,0.527778
Indiana,Coffee,0.444444
Indiana,Crafts,0.805556
Indiana,Eggs,0.756944
Indiana,Flowers,0.770833
Indiana,Fruits,0.854167
Indiana,Grains,0.187500
Indiana,Herbs,0.770833
Indiana,Honey,0.895833
Indiana,Jams,0.861111
Indiana,Juices,0.194444
Indiana,Maple,0.541667
Indiana,Meat,0.645833
Indiana,Mushrooms,0.222222
Indiana,Nursery,0.034722
Indiana,Nuts,0.243056
Indiana,PetFood,0.298611
Indiana,Plants,0.888889
Indiana,Poultry,0.437500
Indiana,Prepared,0.631944
Indiana,Seafood,0.104167
Indiana,Soap,0.833333
Indiana,Tofu,0.006944
Indiana,Trees,0.256944
Indiana,Vegetables,0.986111
Indiana,WildHarvested,0.173611
Indiana,Wine,0.083333
Iowa,Bakedgoods,0.980198
Iowa,Beans,0.069307
Iowa,Cheese,0.227723
Iowa,Coffee,0.247525
Iowa,Crafts,0.841584
Iowa,Eggs,0.821782
Iowa,Flowers,0.732673
Iowa,Fruits,0.782178
Iowa,Grains,0.099010
Iowa,Herbs,0.811881
Iowa,Honey,0.831683
Iowa,Jams,0.920792
Iowa,Juices,0.148515
Iowa,Maple,0.188119
Iowa,Meat,0.475248
Iowa,Mushrooms,0.118812
Iowa,Nursery,0.069307
Iowa,Nuts,0.376238
Iowa,PetFood,0.188119
Iowa,Plants,0.811881
Iowa,Poultry,0.306931
Iowa,Prepared,0.534653
Iowa,Seafood,0.059406
Iowa,Soap,0.653465
Iowa,Tofu,0.009901
Iowa,Trees,0.158416
Iowa,Vegetables,0.980198
Iowa,WildHarvested,0.108911
Iowa,Wine,0.207921
Kansas,Bakedgoods,0.948052
Kansas,Beans,0.064935
Kansas,Cheese,0.155844
Kansas,Coffee,0.220779
Kansas,Crafts,0.688312
Kansas,Eggs,0.792208
Kansas,Flowers,0.623377
Kansas,Fruits,0.766234
Kansas,Grains,0.181818
Kansas,Herbs,0.714286
Kansas,Honey,0.818182
Kansas,Jams,0.896104
Kansas,Juices,0.155844
Kansas,Maple,0.077922
Kansas,Meat,0.493506
Kansas,Mushrooms,0.129870
Kansas,Nursery,0.012987
Kansas,Nuts,0.311688
Kansas,PetFood,0.155844
Kansas,Plants,0.623377
Kansas,Poultry,0.298701
Kansas,Prepared,0.493506
Kansas,Seafood,0.000000
Kansas,Soap,0.584416
Kansas,Tofu,0.000000
Kansas,Trees,0.168831
Kansas,Vegetables,0.948052
Kansas,WildHarvested,0.103896
Kansas,Wine,0.077922
Kentucky,Bakedgoods,0.863158
Kentucky,Beans,0.178947
Kentucky,Cheese,0.315789
Kentucky,Coffee,0.189474
Kentucky,Crafts,0.663158
Kentucky,Eggs,0.800000
Kentucky,Flowers,0.663158
Kentucky,Fruits,0.863158
Kentucky,Grains,0.115789
Kentucky,Herbs,0.789474
Kentucky,Honey,0.894737
Kentucky,Jams,0.842105
Kentucky,Juices,0.147368
Kentucky,Maple,0.294737
Kentucky,Meat,0.568421
Kentucky,Mushrooms,0.168421
Kentucky,Nursery,0.084211
Kentucky,Nuts,0.210526
Kentucky,PetFood,0.147368
Kentucky,Plants,0.757895
Kentucky,Poultry,0.421053
Kentucky,Prepared,0.368421
Kentucky,Seafood,0.105263
Kentucky,Soap,0.715789
Kentucky,Tofu,0.000000
Kentucky,Trees,0.294737
Kentucky,Vegetables,0.968421
Kentucky,WildHarvested,0.084211
Kentucky,Wine,0.157895
Louisiana,Bakedgoods,0.842105
Louisiana,Beans,0.157895
Louisiana,Cheese,0.421053
Louisiana,Coffee,0.298246
Louisiana,Crafts,0.578947
Louisiana,Eggs,0.736842
Louisiana,Flowers,0.473684
Louisiana,Fruits,0.789474
Louisiana,Grains,0.192982
Louisiana,Herbs,0.719298
Louisiana,Honey,0.842105
Louisiana,Jams,0.894737
Louisiana,Juices,0.228070
Louisiana,Maple,0.035088
Louisiana,Meat,0.333333
Louisiana,Mushrooms,0.157895
Louisiana,Nursery,0.087719
Louisiana,Nuts,0.350877
Louisiana,PetFood,0.157895
Louisiana,Plants,0.666667
Louisiana,Poultry,0.315789
Louisiana,Prepared,0.649123
Louisiana,Seafood,0.438596
Louisiana,Soap,0.684211
Louisiana,Tofu,0.070175
Louisiana,Trees,0.403509
Louisiana,Vegetables,1.000000
Louisiana,WildHarvested,0.245614
Louisiana,Wine,0.175439
Maine,Bakedgoods,0.878788
Maine,Beans,0.287879
Maine,Cheese,0.787879
Maine,Coffee,0.287879
Maine,Crafts,0.681818
Maine,Eggs,0.833333
Maine,Flowers,0.818182
Maine,Fruits,0.787879
Maine,Grains,0.166667
Maine,Herbs,0.939394
Maine,Honey,0.681818
Maine,Jams,0.848485
Maine,Juices,0.242424
Maine,Maple,0.787879
Maine,Meat,0.863636
Maine,Mushrooms,0.272727
Maine,Nursery,0.060606
Maine,Nuts,0.030303
Maine,PetFood,0.106061
Maine,Plants,0.742424
Maine,Poultry,0.575758
Maine,Prepared,0.575758
Maine,Seafood,0.318182
Maine,Soap,0.757576
Maine,Tofu,0.030303
Maine,Trees,0.212121
Maine,Vegetables,0.924242
Maine,WildHarvested,0.257576
Maine,Wine,0.181818
Maryland,Bakedgoods,0.965217
Maryland,Beans,0.069565
Maryland,Cheese,0.469565
Maryland,Coffee,0.347826
Maryland,Crafts,0.565217
Maryland,Eggs,0.878261
Maryland,Flowers,0.713043
Maryland,Fruits,0.773913
Maryland,Grains,0.052174
Maryland,Herbs,0.826087
Maryland,Honey,0.800000
Maryland,Jams,0.834783
Maryland,Juices,0.252174
Maryland,Maple,0.165217
Maryland,Meat,0.617391
Maryland,Mushrooms,0.226087
Maryland,Nursery,0.147826
Maryland,Nuts,0.243478
Maryland,PetFood,0.165217
Maryland,Plants,0.765217
Maryland,Poultry,0.591304
Maryland,Prepared,0.626087
Maryland,Seafood,0.243478
Maryland,Soap,0.721739
Maryland,Tofu,0.043478
Maryland,Trees,0.200000
Maryland,Vegetables,0.973913
Maryland,WildHarvested,0.113043
Maryland,Wine,0.330435
Massachusetts,Bakedgoods,0.883333
Massachusetts,Beans,0.075000
Massachusetts,Cheese,0.583333
Massachusetts,Coffee,0.416667
Massachusetts,Crafts,0.554167
Massachusetts,Eggs,0.829167
Massachusetts,Flowers,0.620833
Massachusetts,Fruits,0.820833
Massachusetts,Grains,0.083333
Massachusetts,Herbs,0.729167
Massachusetts,Honey,0.820833
Massachusetts,Jams,0.775000
Massachusetts,Juices,0.283333
Massachusetts,Maple,0.650000
Massachusetts,Meat,0.650000
Massachusetts,Mushrooms,0.220833
Massachusetts,Nursery,0.075000
Massachusetts,Nuts,0.137500
Massachusetts,PetFood,0.225000
Massachusetts,Plants,0.529167
Massachusetts,Poultry,0.579167
Massachusetts,Prepared,0.645833
Massachusetts,Seafood,0.404167
Massachusetts,Soap,0.654167
Massachusetts,Tofu,0.050000
Massachusetts,Trees,0.100000
Massachusetts,Vegetables,0.958333
Massachusetts,WildHarvested,0.120833
Massachusetts,Wine,0.287500
Michigan,Bakedgoods,0.920168
Michigan,Beans,0.189076
Michigan,Cheese,0.457983
Michigan,Coffee,0.348739
Michigan,Crafts,0.689076
Michigan,Eggs,0.764706
Michigan,Flowers,0.773109
Michigan,Fruits,0.848739
Michigan,Grains,0.134454
Michigan,Herbs,0.819328
Michigan,Honey,0.852941
Michigan,Jams,0.844538
Michigan,Juices,0.180672
Michigan,Maple,0.726891
Michigan,Meat,0.445378
Michigan,Mushrooms,0.252101
Michigan,Nursery,0.037815
Michigan,Nuts,0.205882
Michigan,PetFood,0.189076
Michigan,Plants,0.756303
Michigan,Poultry,0.420168
Michigan,Prepared,0.613445
Michigan,Seafood,0.201681
Michigan,Soap,0.739496
Michigan,Tofu,0.046218
Michigan,Trees,0.306723
Michigan,Vegetables,0.924370
Michigan,WildHarvested,0.184874
Michigan,Wine,0.147059
Minnesota,Bakedgoods,0.818898
Minnesota,Beans,0.094488
Minnesota,Cheese,0.283465
Minnesota,Coffee,0.275591
Minnesota,Crafts,0.653543
Minnesota,Eggs,0.700787
Minnesota,Flowers,0.692913
Minnesota,Fruits,0.708661
Minnesota,Grains,0.165354
Minnesota,Herbs,0.755906
Minnesota,Honey,0.708661
Minnesota,Jams,0.850394
Minnesota,Juices,0.125984
Minnesota,Maple,0.559055
Minnesota,Meat,0.401575
Minnesota,Mushrooms,0.149606
Minnesota,Nursery,0.047244
Minnesota,Nuts,0.110236
Minnesota,PetFood,0.078740
Minnesota,Plants,0.645669
Minnesota,Poultry,0.448819
Minnesota,Prepared,0.503937
Minnesota,Seafood,0.157480
Minnesota,Soap,0.606299
Minnesota,Tofu,0.015748
Minnesota,Trees,0.196850
Minnesota,Vegetables,0.937008
Minnesota,WildHarvested,0.125984
Minnesota,Wine,0.007874
Mississippi,Bakedgoods,0.866667
Mississippi,Beans,0.044444
Mississippi,Cheese,0.533333
Mississippi,Coffee,0.311111
Mississippi,Crafts,0.577778
Mississippi,Eggs,0.666667
Mississippi,Flowers,0.755556
Mississippi,Fruits,0.777778
Mississippi,Grains,0.111111
Mississippi,Herbs,0.822222
Mississippi,Honey,0.822222
Mississippi,Jams,0.911111
Mississippi,Juices,0.111111
Mississippi,Maple,0.022222
Mississippi,Meat,0.288889
Mississippi,Mushrooms,0.133333
Mississippi,Nursery,0.066667
Mississippi,Nuts,0.466667
Mississippi,PetFood,0.133333
Mississippi,Plants,0.755556
Mississippi,Poultry,0.111111
Mississippi,Prepared,0.511111
Mississippi,Seafood,0.111111
Mississippi,Soap,0.688889
Mississippi,Tofu,0.000000
Mississippi,Trees,0.377778
Mississippi,Vegetables,1.000000
Mississippi,WildHarvested,0.133333
Mississippi,Wine,0.000000
Missouri,Bakedgoods,0.897590
Missouri,Beans,0.072289
Missouri,Cheese,0.210843
Missouri,Coffee,0.198795
Missouri,Crafts,0.753012
Missouri,Eggs,0.795181
Missouri,Flowers,0.656627
Missouri,Fruits,0.777108
Missouri,Grains,0.090361
Missouri,Herbs,0.777108
Missouri,Honey,0.783133
Missouri,Jams,0.843373
Missouri,Juices,0.048193
Missouri,Maple,0.090361
Missouri,Meat,0.469880
Missouri,Mushrooms,0.102410
Missouri,Nursery,0.126506
Missouri,Nuts,0.216867
Missouri,PetFood,0.108434
Missouri,Plants,0.777108
Missouri,Poultry,0.313253
Missouri,Prepared,0.530120
Missouri,Seafood,0.036145
Missouri,Soap,0.734940
Missouri,Tofu,0.006024
Missouri,Trees,0.210843
Missouri,Vegetables,0.945783
Missouri,WildHarvested,0.108434
Missouri,Wine,0.048193
Montana,Bakedgoods,0.961538
Montana,Beans,0.076923
Montana,Cheese,0.269231
Montana,Coffee,0.346154
Montana,Crafts,0.865385
Montana,Eggs,0.826923
Montana,Flowers,0.673077
Montana,Fruits,0.730769
Montana,Grains,0.153846
Montana,Herbs,0.750000
Montana,Honey,0.653846
Montana,Jams,0.865385
Montana,Juices,0.173077
Montana,Maple,0.076923
Montana,Meat,0.365385
Montana,Mushrooms,0.057692
Montana,Nursery,0.192308
Montana,Nuts,0.134615
Montana,PetFood,0.230769
Montana,Plants,0.711538
Montana,Poultry,0.269231
Montana,Prepared,0.576923
Montana,Seafood,0.096154
Montana,Soap,0.750000
