city,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Cincinnati,-0.570906,-0.648050,,,,,,,,,,,,-0.185183,,,,,,,,,,,,,,,,,
Denver,-0.185183,-0.185183,-0.185183,-0.493761,-0.262327,-1.728075,-0.108038,0.740553,-0.339472,-0.030894,0.200540,0.046251,0.123396,0.431974,0.354830,-0.416617,0.894842,0.431974,-0.725195,-0.339472,-1.110918,-1.959509,-0.725195,0.354830,0.431974,-0.648050,-0.030894,0.123396,-1.265207,-0.956629,0.277685
Des Moines,-0.378044,-0.185183,-0.185183,-1.033774,-0.725195,-0.725195,0.393402,0.316257,-0.069466,0.277685,1.126276,0.431974,-0.339472,-0.185183,0.509119,-0.185183,0.046251,0.277685,1.357710,0.547691,0.200540,-0.416617,-1.188063,-0.262327,0.123396,-0.030894,-1.265207,,,,
Fairbanks,-0.956629,-1.573786,-1.650931,-1.728075,-1.728075,-2.036654,-1.573786,-0.725195,-0.802340,-1.110918,-0.956629,-1.728075,-1.882364,-2.268087,-1.882364,-0.802340,-1.805220,-1.882364,-1.959509,-1.959509,-1.959509,-1.882364,-1.728075,-2.036654,-1.959509,-2.422377,-2.190943,-1.188063,-1.188063,-0.648050,-0.570906
Houston,1.049131,1.203420,1.049131,0.817697,0.509119,1.357710,1.897722,1.511999,1.434854,0.971986,2.052011,0.740553,1.666288,1.743433,1.974866,2.283445,1.126276,1.589143,1.589143,-0.185183,-0.030894,-0.262327,-0.570906,-0.262327,-0.262327,-0.802340,-0.185183,0.509119,1.820577,0.046251,-0.879484
Indianapolis,-0.185183,-0.648050,-0.879484,-0.339472,-0.262327,-0.262327,0.277685,0.431974,-0.339472,0.431974,0.817697,1.049131,-0.648050,-0.185183,0.586263,0.354830,0.123396,0.509119,0.586263,1.126276,0.894842,1.743433,0.894842,-0.030894,0.046251,0.200540,-0.879484,-0.956629,-0.725195,-1.342352,-0.802340
Long Beach,-0.030894,0.200540,0.354830,1.049131,0.663408,0.663408,0.431974,0.894842,1.049131,1.589143,1.666288,0.046251,-0.570906,-1.265207,-0.802340,-0.570906,0.123396,0.200540,0.046251,0.277685,0.509119,0.277685,0.586263,1.049131,0.431974,1.589143,-0.416617,-0.416617,0.354830,-0.725195,0.431974
Vandenberg Air Force Base,-0.185183,0.046251,1.203420,0.894842,1.126276,0.740553,0.586263,1.589143,1.357710,0.123396,0.123396,1.203420,1.049131,-0.339472,0.200540,0.431974,1.049131,1.049131,0.431974,0.354830,0.509119,0.509119,1.203420,1.280565,0.740553,1.203420,0.663408,0.663408,0.586263,0.971986,0.894842
